"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2023-05-06 19:37:37.507369","52.212.101.251","192.168.18.48","TCP","54","443  >  50596 [ACK] Seq=1 Ack=1 Win=110 Len=0"
"2","2023-05-06 19:37:37.507369","52.212.101.251","192.168.18.48","TLSv1.2","165","Server Hello"
"3","2023-05-06 19:37:37.507369","52.212.101.251","192.168.18.48","TLSv1.2","60","Change Cipher Spec"
"4","2023-05-06 19:37:37.507369","52.212.101.251","192.168.18.48","TLSv1.2","99","Encrypted Handshake Message"
"5","2023-05-06 19:37:37.507469","192.168.18.48","52.212.101.251","TCP","54","50596  >  443 [ACK] Seq=1 Ack=163 Win=258 Len=0"
"6","2023-05-06 19:37:37.508124","192.168.18.48","52.212.101.251","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"7","2023-05-06 19:37:37.508369","192.168.18.48","52.212.101.251","TLSv1.2","381","Application Data"
"8","2023-05-06 19:37:37.508439","192.168.18.48","52.212.101.251","TLSv1.2","507","Application Data"
"9","2023-05-06 19:37:37.519714","2.17.179.243","192.168.18.48","TCP","54","443  >  50595 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"10","2023-05-06 19:37:37.545320","2.17.179.243","192.168.18.48","TCP","1466","443  >  50595 [ACK] Seq=1 Ack=1 Win=501 Len=1412 [TCP segment of a reassembled PDU]"
"11","2023-05-06 19:37:37.545320","2.17.179.243","192.168.18.48","TLSv1.2","552","Application Data"
"12","2023-05-06 19:37:37.545391","192.168.18.48","2.17.179.243","TCP","54","50595  >  443 [ACK] Seq=1 Ack=1911 Win=259 Len=0"
"13","2023-05-06 19:37:37.546481","192.168.18.48","2.17.179.243","TLSv1.2","85","Encrypted Alert"
"14","2023-05-06 19:37:37.546638","192.168.18.48","2.17.179.243","TCP","54","50595  >  443 [FIN, ACK] Seq=32 Ack=1911 Win=259 Len=0"
"15","2023-05-06 19:37:37.594822","192.168.18.48","2.17.179.243","TCP","66","50599  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"16","2023-05-06 19:37:37.632337","192.168.18.48","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"17","2023-05-06 19:37:37.632899","fe80::25c9:3a77:9a74:3da9","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QU"" question"
"18","2023-05-06 19:37:37.640479","2407:d000:b:7008:5d49:e746:bd25:c0b5","2a00:1450:4018:809::200e","UDP","91","58033  >  443 Len=29"
